,User_name,User_location,User_verified,RT_count,Likes,Created_at,Tweets,Hashtags
280,@RitaOra,London,True,48,0,2021-07-14 08:41:57+00:00,"RT @thisisheart: What👏A👏Morning!👏

Superstar @RitaOra and @SigalaMusic joined us to chat about their incredible new single 'You For Me' and…",
281,@RitaOra,London,True,30,0,2021-07-14 06:43:21+00:00,RT @thisisheart: Today on Heart Breakfast we're joined by @RitaOra and @SigalaMusic who'll be chatting about their new song and much more..…,
282,@RitaOra,London,True,22,0,2021-07-14 00:16:19+00:00,"RT @thisisheart: A huge show tomorrow on Heart Breakfast where we'll be joined by superstar @RitaOra and @SigalaMusic! 😍

See you there 👏 h…",
283,@RitaOra,London,True,173,1425,2021-07-13 17:58:52+00:00,YOU FOR ME 🌴🍒☀️💙❤️ music video out fridayyyyyyy!!!!!! https://t.co/a8m5rfQbdX,
284,@RitaOra,London,True,37,0,2021-07-13 17:18:04+00:00,"RT @ministryofsound: The one we've all been waiting for... #YouForMe music video is out THIS FRIDAY!! 🌙❣️❤️🍒 🌊

@SigalaMusic @RitaOra 

In…",['YouForMe']
285,@RitaOra,London,True,24,0,2021-07-13 17:17:57+00:00,RT @CapitalOfficial: We call Wednesday Wednes-BAE because Capital Breakfast with @romankemp is hanging out with @RitaOra and @SigalaMusic.…,
286,@RitaOra,London,True,24,0,2021-07-13 03:30:51+00:00,"RT @hitsradiouk: 'You For Me' = A thick bit of oak 😂

@Jordan_Lee caught up with @SigalaMusic &amp; @RitaOra to chat about their brand new sing…",
287,@RitaOra,London,True,76,0,2021-07-13 03:30:44+00:00,RT @SigalaMusic: You guessed it... The video for 'You For Me' is dropping THIS FRIDAY 🥳 @RitaOra absolutely smashed it in this one &amp; we can…,
288,@RitaOra,London,True,123,801,2021-07-12 18:15:11+00:00,It’s the #YouForMe video coming this Friday!!! 🌴🔥☀️this was so fun to film I can’t wait for you to seee!!! @SigalaMusic https://t.co/b7SFoZEWTX,['YouForMe']
289,@RitaOra,London,True,28,0,2021-07-12 16:54:16+00:00,"RT @hitsradiouk: Tonight from 8pm @Sigala &amp; @RitaOra will be dropping in to @Jordan_Lee's show 🎉

They'll be chatting about their brand new…",
290,@RitaOra,London,True,1364,21643,2021-07-11 14:23:18+00:00,It’s. Coming. Home. 🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/AFEhQD0z7u,
291,@RitaOra,London,True,165,2564,2021-07-09 11:54:22+00:00,"I love it when the ☀️ hits just right….
And then some…
Grateful. Happy. You for me! Can’t wait for you all to see the video! 🌴 🍸 👙 ❤️ https://t.co/CpNWVP8vai",
292,@RitaOra,London,True,48,0,2021-07-06 17:52:54+00:00,RT @officialcharts: A summery bop! @SigalaMusic &amp; @RitaOra's You For Me makes a big debut on the UK's Official Trending Chart this week ❤️…,
293,@RitaOra,London,True,44,0,2021-07-03 12:59:54+00:00,RT @SigalaMusic: Big love @SpotifyUK 💚 💚 @RitaOra #mint https://t.co/4gSRoZ7uMb https://t.co/wyjX9XGS7J,['mint']
294,@RitaOra,London,True,33,0,2021-07-03 12:59:34+00:00,"RT @hitsradiouk: You can always rely on @SigalaMusic to bring a summer banger! ☀️💃

He's teamed up with @RitaOra for 'You For Me' - a trend…",
295,@RitaOra,London,True,58,0,2021-07-02 20:33:49+00:00,RT @CapitalOfficial: 🆕 'You For Me' by @SigalaMusic x @RitaOra is on Capital 💥 https://t.co/clp2UsbDXG,
296,@RitaOra,London,True,26,0,2021-07-02 20:32:42+00:00,"RT @hitsradiouk: We just had to add this summer banger to our playlist! 🎶 ✚

Listen out for the new @sigalamusic x @ritaora collab 'You For…",
297,@RitaOra,London,True,129,1343,2021-07-02 17:03:13+00:00,Have you listened to #YouForMe yet?!! Soooo excited for this one with @SigalaMusic and the summerrr!!! Listen here https://t.co/EDTf8ZHOov thank you all for the lovely comments so far 🍒🥰❤️🌴☀️ https://t.co/zWA5DWolt3,['YouForMe']
298,@RitaOra,London,True,12,62,2021-07-02 15:35:49+00:00,@SigalaMusic I shoulda told you that #YouForMe is out today!! 🤪❤️🌴 https://t.co/Re8lWseLgf,['YouForMe']
299,@RitaOra,London,True,5,18,2021-07-02 15:13:19+00:00,@whitneyOraaa Thank you!!! ❤️❤️❤️,
0,@WHO,"Geneva, Switzerland",True,54,175,2022-01-09 09:25:36+00:00,"In 2020, just 13% girls aged 9-14 years were vaccinated against HPV - the virus that causes almost all #CervicalCancer.
 
Almost 80 countries – home to around 2/3 of the global cervical cancer burden - are yet to introduce this lifesaving vaccine. https://t.co/GnLxpEFcB4",['CervicalCancer']
1,@WHO,"Geneva, Switzerland",True,528,947,2022-01-08 17:14:53+00:00,"""The Omicron variant has been detected around the world. We are seeing a very sharp increase in case numbers with almost 10 million cases reported in the last 7 days."" -@mvankerkhove explains why Omicron is transmitting so efficiently and how to contain the spread of #COVID19. https://t.co/IIjb4rBoxX",['COVID19']
2,@WHO,"Geneva, Switzerland",True,87,228,2022-01-08 12:48:11+00:00,"Submit your #Film4Health on Universal Health Coverage.

The #HealthForAll film festival is calling for films on #MentalHealth &amp; Noncommunicable diseases that can drive change, educate or showcase community action.
 
Submissions are open until 30 January:
🎬https://t.co/Z84Q1z1mGv https://t.co/aKgffMnJ4T","['Film4Health', 'HealthForAll', 'MentalHealth']"
